"","Obs","Pow","Multi","Power_weight","rows","Lee_Pow","Lee_Mult","Best_mod","Best","LEE_Best","Best_pred","Best_pred2"
"92",18,24.6891975445618,22.2147428973624,0.15168459260432,21,0.137234469493176,0.0913687861894092,"loga",21.0362896458444,0.0676966368216236,0,3
"93",37,37.9870314813958,42.8851087414823,NA,9,0.0114336326195754,0.0641047915654192,"linear",57.0564925036389,0.188103346213486,1,1
"94",29,49.9860156023035,27.183546975872,NA,33,0.236450522512429,-0.0280918739960558,"negexpo",27.8780809095483,-0.0171351237053943,0,3
"95",17,8.51541725582079,8.44197252799536,0.135075487462766,24,-0.300242988109514,-0.304004986845769,"power",8.51541725582079,-0.300242988109514,1,3
"96",6,10.0460094864514,10.1729739741471,0.149626125028301,33,0.22384233354456,0.229296683045713,"power",10.0460094864514,0.22384233354456,1,3
"97",33,35.5220104279013,29.8932753916264,0.163562445119258,21,0.0319835975506231,-0.042940436796582,"loga",29.6501390474954,-0.0464872055024501,1,1
"98",17,17.5371442744042,16.0667511867236,0.0826118604947488,14,0.0135099534646907,-0.024520853222294,"monod",15.3811258916113,-0.0434607945853307,1,1
"99",82,39.1551394389636,35.9337251475557,0.147604338987536,9,-0.32102507747151,-0.358311610765823,"monod",32.7690822948521,-0.398349573340752,1,1
"100",40,45.8740770959092,30.9814074572433,NA,39,0.0595073487946198,-0.110958847852168,"logistic",29.6700898402469,-0.129741129976931,1,1
"101",30,41.802354276435,34.8112217805521,0.151886591831553,37,0.144079486875284,0.0645980114040461,"power",41.802354276435,0.144079486875284,0,2
"102",34,29.7254730107939,29.7975716581069,0.337794489691357,39,-0.058350142924168,-0.0572980441893534,"power",29.7254730107939,-0.058350142924168,0,2
"103",32,30.7735409158887,18.7757155800146,0.0052381716559803,35,-0.0169725076897529,-0.231553480498318,"p1",9.52037712538295,-0.526495826129883,1,1
"104",8,11.5308330688792,9.46123799825394,0.07061796568077,14,0.158770697939146,0.0728579803435446,"negexpo",8.3746406885159,0.0198761958402401,0,3
"105",94,108.173998520804,116.837252199025,0.141342032505711,16,0.0609950295740271,0.0944534810007414,"linear",142.232312748659,0.179870418281111,1,1
"106",23,27.1194791740344,24.7720144487483,0.0615205705814387,25,0.0715535086901589,0.0322334886305262,"negexpo",23.7673476108275,0.0142528820061287,0,3
